Point,X,Y,Z,PixelX,PixelY
M15,7.265,8.017,26.321,753,879
M16,7.301,9.5,26.337,752,935
M2,6.879,-10.382,25.571,752,58
M3,7.107,-9.202,26.339,749,121
M4,7.124,-7.612,26.068,753,183
M5,7.224,-6.116,26.307,753,248
M6,7.376,-4.786,26.963,755,309
M7,7.228,-3.123,26.259,752,374
M8,7.267,-1.794,26.59,752,437
M9,7.431,-0.345,27.001,753,498
N10,8.783,1.145,27.079,813,558
N12,8.536,3.826,26.0,816,688
N13,8.593,5.262,26.298,822,755
N14,8.636,6.762,26.356,815,814
N15,8.786,8.003,26.625,813,879
N16,8.866,9.643,26.688,820,939
N2,8.265,-10.285,25.276,814,55
N3,8.363,-8.982,25.556,818,123
N4,8.541,-7.654,26.058,818,184
N5,8.626,-6.231,26.376,815,246
N6,8.516,-4.592,26.068,815,309
N7,8.661,-3.26,26.714,813,373
N8,8.52,-1.687,26.353,812,437
N9,8.642,-0.38,26.615,813,497
O10,9.974,0.975,26.152,875,564
O12,10.04,3.821,26.337,878,688
O13,10.042,5.293,26.348,875,752
O14,10.205,6.754,26.643,876,816
O15,9.844,8.13,26.557,884,883
O16,10.223,9.59,26.777,877,939
O2,9.438,-10.569,25.46,875,59
O3,9.614,-8.946,25.372,872,121
O4,9.755,-7.533,25.648,870,186
O5,9.786,-6.091,25.699,877,248
O6,9.997,-4.694,26.336,877,306
O7,10.113,-3.261,26.586,881,370
O8,9.849,-1.757,25.951,878,437
O9,9.975,-0.33,26.099,873,498
P10,11.467,1.026,26.395,936,560
P12,11.157,3.738,25.544,938,693
P13,11.644,5.349,26.574,941,756
P14,11.346,6.67,25.807,945,815
P15,11.499,8.04,26.404,938,879
P16,11.534,9.496,26.51,933,935
P2,10.916,-10.25,25.021,938,60
P3,11.457,-9.283,26.161,936,120
P4,11.279,-7.615,25.79,939,186
P5,11.311,-6.253,26.115,935,248
P6,11.267,-4.707,25.973,941,306
P7,11.152,-3.153,25.709,936,372
P8,11.254,-1.794,26.068,939,438
P9,11.415,-0.336,26.317,938,498
